2024-08-28T15:48:27+08:00
Carpark Number,Total Lots,Lots Available,Address
C19M,84,62,BLK 445 CLEMENTI AVENUE 3
CC5,104,63,BLK 27 CHAI CHEE ROAD
SK83,102,63,BLK 450 SENGKANG WEST WAY
B46,70,63,BLK 537 BEDOK NORTH STREET 3
KU9,101,64,BLK 302,304 UBI AVENUE 1
TB19,100,64,BLK 75/76 TELOK BLANGAH DRIVE
JBM2,144,65,BLK 113A JALAN BUKIT MERAH
A43,141,65,BLK 457/458/460 ANG MO KIO STREET 44
TP41,134,65,BLK 253/254/256 KIM KEAT AVENUE
HE12,105,65,BLK 78/81 REDHILL LANE
SK50,89,65,BLK 323 SENGKANG EAST WAY
HG10,248,66,BLK 101-108 HOUGANG AVENUE 1
J35,165,66,BLK 508/511 JURONG WEST STREET 51/52
T16,109,66,BLK 202/205 TAMPINES STREET 21
K52,102,66,BLK 52 CASSIA CRESCENT
P15,90,66,BLK 413 PANDAN GARDENS
TBM2,243,67,BLK 73A TELOK BLANGAH STREET 32
TM25,128,67,BLK 497E TAMPINES STREET 45
U8,121,67,BLK 165/168 BUKIT BATOK WEST AVENUE 8
M3,126,68,BLK 19 TO 21/23/24/30/32 BALAM ROAD
T7,110,68,BLK 136/138 TAMPINES STREET 11
A13,154,70,BLK 232/233 ANG MO KIO STREET 22
RCM,151,70,BLK 638 VEERASAMY ROAD
BM4,150,70,BLK 35A JALAN RUMAH TINGGI
U5,101,70,BLK 144/149 BUKIT BATOK WEST AVENUE 6
U48,93,70,BLK 350 BUKIT BATOK STREET 32
PL34,80,70,BLK 603 PUNGGOL ROAD
C16,280,71,BLK 430-435 CLEMENTI AVENUE 3
J70,147,71,BLK 835/838 JURONG WEST STREET 81
KTM,247,72,BLK 125A KIM TIAN ROAD
HG53,201,72,BLK 830A HOUGANG CENTRAL
CC8,147,72,BLK 55/58 CHAI CHEE DRIVE
A70,134,72,BLK 629/626 ANG MO KIO AVENUE 4
SG2,103,72,BLK 14/19 SAINT GEORGE RD
KB10,164,73,BLK 30 BENDEMEER ROAD
TE14,134,73,BLK 140/142 JALAN BUKIT MERAH
KE4,133,73,BLK 136/140 BEDOK RESERVOIR ROAD
Y25M,114,73,813 YISHUN RING ROAD
B44B,102,73,BLKS 556/557 BEDOK NORTH STREET 3
Y4T,97,73,BLK 137 YISHUN RING ROAD
A85,93,73,BLK 340 ANG MO KIO STREET 32
TM49,197,74,BLK 494F TAMPINES STREET 43
A65,97,74,BLK 558/560 ANG MO KIO STREET 54
BR8,127,75,BLK 76/77 LORONG LIMAU
A64,125,75,BLK 584/586 ANG MO KIO STREET 51
M16,124,75,BLK 37 CIRCUIT ROAD
C18,124,75,BLK 426/428 CLEMENTI AVENUE 3
B90,75,75,BLK 35A BEDOK SOUTH AVENUE 2
AM22,240,76,BLK 316B ANG MO KIO STREET 31
SK75,167,76,BLK 441 FERNVALE ROAD
BR5,152,77,BLK 74/75 WHAMPOA DRIVE
KB3,149,77,BLK 64/65/67 KALLANG BAHRU
KM2,127,77,BLK 93A JALAN DUA
Q66,102,77,BLK 117 COMMONWEALTH DRIVE
GE2,194,78,BLK 120 TO 123 GEYLANG EAST CENTRAL
SDM2,135,78,BLK 50A SIMS DRIVE
J33,129,78,BLK 518/520 JURONG WEST STREET 52
TM26,124,78,BLK 497K TAMPINES STREET 45
MLM1,200,79,BLK 161A MEI LING STREET
M33,125,79,BLK 125 TO 126 ALJUNIED ROAD
CKT1,104,79,BLK BETWEEN 404 & 426 CHOA CHU KANG AVENUE 1/4
J4,172,81,BLK 201/206 JURONG EAST STREET 21
SG4,146,81,BLK 9/11 SAINT GEORGE ROAD
AM16,115,81,BLK 256A ANG MO KIO STREET 21
SI8,115,81,BLK 138 SIMEI STREET 1
